City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Kalmunai,LK,7.4167,81.8167,77.76,87,2,7.85,clear sky
221,Matay,EG,28.419,30.7792,57.83,48,0,1.9,clear sky
222,Pyaozerskiy,RU,65.8333,31.1667,13.05,96,100,3.44,light snow
223,Alekseyevsk,RU,57.8406,108.3492,-36.96,79,99,5.28,overcast clouds
224,Mangai,CD,-4.05,19.5333,80.56,72,70,1.54,broken clouds
225,Picayune,US,30.5255,-89.6795,69.8,83,75,10.36,broken clouds
226,Qaanaaq,GL,77.484,-69.3632,-2.94,88,100,1.07,overcast clouds
227,Alofi,NU,-19.0595,-169.9187,75.2,94,75,4.61,broken clouds
228,Moroni,KM,-11.7022,43.2551,82.18,75,23,6.71,few clouds
229,Buchanan,LR,5.8808,-10.0467,87.8,66,75,11.5,light rain
230,Rio Grande,BR,-32.035,-52.0986,82.4,69,75,2.3,broken clouds
231,Ahipara,NZ,-35.1667,173.1667,56.86,81,0,4.03,clear sky
232,Nekhayevskiy,RU,50.4106,41.7561,36.0,87,98,7.0,overcast clouds
233,Lebu,CL,-37.6167,-73.65,63.28,68,0,13.15,clear sky
234,Monywa,MM,22.1167,95.1333,69.3,42,19,2.57,few clouds
235,Mercedes,AR,-34.6515,-59.4307,69.01,76,98,1.99,overcast clouds
236,Marsa Matruh,EG,31.3525,27.2453,68.0,52,0,6.91,clear sky
237,Port Keats,AU,-14.25,129.55,77.07,93,100,5.1,overcast clouds
238,Itarsi,IN,22.6167,77.75,60.13,29,0,4.99,clear sky
239,Paramonga,PE,-10.6667,-77.8333,76.26,66,40,11.92,scattered clouds
240,Palmer,US,42.1584,-72.3287,14.0,61,20,8.05,few clouds
241,Alice Springs,AU,-23.7,133.8833,88.0,36,3,6.91,clear sky
242,Meulaboh,ID,4.1363,96.1285,77.47,85,78,5.06,light rain
243,Khandyga,RU,62.6667,135.6,-51.07,76,78,1.7,broken clouds
244,Kasongo-Lunda,CD,-6.4667,16.8167,81.75,74,66,2.15,light rain
245,Chernyshevskiy,RU,63.0128,112.4714,-34.24,85,98,2.08,overcast clouds
246,Kumeny,RU,58.1089,49.9161,27.07,97,100,25.14,snow
247,Thonon-Les-Bains,FR,46.25,6.5,46.99,94,81,3.29,broken clouds
248,Paamiut,GL,61.994,-49.6678,24.48,91,0,13.22,clear sky
249,Lorengau,PG,-2.0226,147.2712,82.38,79,100,8.93,overcast clouds
250,Kampot,KH,10.6167,104.1833,77.0,83,30,3.44,scattered clouds
251,Havelock,US,34.8791,-76.9013,54.0,94,100,1.99,overcast clouds
252,Verkhnyaya Inta,RU,65.9811,60.3094,6.49,91,39,4.92,scattered clouds
253,Halifax,CA,44.6453,-63.5724,26.01,80,46,9.22,scattered clouds
254,Tongchuan,CN,35.0806,109.0897,38.68,56,98,7.45,overcast clouds
255,Walvis Bay,NA,-22.9575,14.5053,69.01,80,14,18.84,few clouds
256,Cayenne,GF,4.9333,-52.3333,84.2,70,75,16.11,broken clouds
257,Tutoia,BR,-2.7619,-42.2744,89.6,58,20,17.27,few clouds
258,Mehamn,NO,71.0357,27.8492,25.39,95,100,15.82,overcast clouds
259,Dunedin,NZ,-45.8742,170.5036,59.0,83,100,7.29,overcast clouds
260,Tupik,RU,54.4253,119.9327,-28.01,82,100,2.95,overcast clouds
261,Waingapu,ID,-9.6567,120.2641,78.75,82,100,9.93,overcast clouds
262,Ponta Do Sol,PT,32.6667,-17.1,64.99,63,0,4.0,clear sky
263,Sanchor,IN,24.7553,71.7722,57.87,39,0,4.03,clear sky
264,Haskovo,BG,41.9403,25.5694,44.6,76,100,5.75,overcast clouds
265,Inirida,CO,3.8653,-67.9239,91.02,52,76,3.53,broken clouds
266,Tamworth,GB,52.634,-1.6959,36.0,78,100,8.01,overcast clouds
267,Tongliao,CN,43.6125,122.2653,7.29,95,100,9.86,snow
268,Esperance,AU,-33.8667,121.9,60.8,82,0,9.22,clear sky
269,Bubaque,GW,11.2833,-15.8333,79.09,66,81,12.21,broken clouds
270,Kolyubakino,RU,55.668,36.5323,25.0,86,75,8.95,light snow
271,Maniwaki,CA,46.3834,-75.966,-4.0,77,0,4.61,clear sky
272,Gatesville,US,31.4352,-97.7439,46.99,57,1,17.27,clear sky
273,Xining,CN,36.6167,101.7667,17.69,64,0,3.06,clear sky
274,Miri,MY,4.4148,114.0089,78.8,94,40,3.44,scattered clouds
275,Florida,US,28.7505,-82.5001,71.6,60,1,14.97,clear sky
276,Porterville,US,36.0652,-119.0168,43.0,93,1,5.75,clear sky
277,Alta Floresta,BR,-9.8756,-56.0861,86.0,70,75,3.44,broken clouds
278,Bilma,NE,18.6853,12.9164,76.91,15,0,2.21,clear sky
279,Keetmanshoop,NA,-26.5833,18.1333,95.36,9,0,5.17,clear sky
280,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,68,20,14.97,few clouds
281,Karaton,ID,-6.3424,106.1045,81.0,83,20,2.3,haze
282,La Asuncion,VE,11.0333,-63.8628,79.52,78,38,16.13,scattered clouds
283,Rawson,AR,-43.3002,-65.1023,78.39,27,18,14.97,few clouds
284,Porto Walter,BR,-8.2686,-72.7439,73.71,94,95,3.98,overcast clouds
285,Ninh Binh,VN,20.2539,105.975,67.24,82,96,2.08,overcast clouds
286,Shache,CN,38.4167,77.2406,28.45,78,63,6.11,broken clouds
287,Dicabisagan,PH,17.0818,122.4157,71.74,82,100,10.02,overcast clouds
288,Harper,LR,4.375,-7.7169,82.29,79,35,8.41,moderate rain
289,Airai,TL,-8.9266,125.4092,61.56,100,100,3.38,moderate rain
290,Kroya,ID,-7.6331,109.2461,77.58,86,100,5.08,light rain
291,Pauini,BR,-7.7136,-66.9764,80.91,87,78,5.08,broken clouds
292,Mackay,AU,-21.15,149.2,78.8,78,75,18.41,broken clouds
293,Pandan,PH,14.0453,124.1694,76.14,82,87,17.74,overcast clouds
294,Lasa,IT,46.6166,10.7002,42.01,70,0,4.61,clear sky
295,Kangaatsiaq,GL,68.3065,-53.4641,6.4,95,100,8.68,overcast clouds
296,Hwange,ZW,-18.3693,26.5019,82.18,71,93,2.33,overcast clouds
297,Cairns,AU,-16.9167,145.7667,77.0,88,100,5.75,overcast clouds
298,Pangody,RU,65.85,74.4859,-6.97,91,100,10.07,light snow
